date,AMD,AAG,AT,BAC,CCP,FB,GEC,SI,VSA
2020-03-02,47.459999,18.860001,35.913513,28.981668,33.060001,196.440002,11.182115,14.39,10.27
2020-03-03,46.75,17.85,35.063484,27.383085,31.83,185.889999,10.852935,13.55,10.22
2020-03-04,50.110001,18.530001,36.879448,28.014624,32.459999,191.759995,10.92276,13.63,10.56
2020-03-05,48.110001,16.040001,35.913513,26.594528,27.870001,185.169998,10.054925,13.85,10.12
2020-03-06,48.59,15.97,35.76862,25.531939,27.15,181.089996,9.385927,13,9.53
2020-03-09,43.27,14.75,33.508331,21.778118,21.74,169.5,8.197709,11.45,7.97
2020-03-10,45.380001,17,34.628815,23.446484,24.02,178.190002,8.836752,11.99,9.4
2020-03-11,45.700001,16.26,33.344124,22.512993,21.75,170.240005,8.197709,10.81,8.5
2020-03-12,39.009998,13.45,30.262785,20.367952,14.97,154.470001,7.219176,10.42,7.16
2020-03-13,43.900002,14.31,33.295826,23.992674,17.58,170.279999,7.838248,11.35,8.7
2020-03-16,38.709999,15.92,30.726433,20.298437,14.57,146.009995,6.65003,9.06,7.9
2020-03-17,41.880001,15.58,32.590694,21.827772,12.71,149.419998,7.069401,8.91,8.17
2020-03-18,39.119999,11.65,31.731007,20.646015,9.3,146.960007,6.590119,8.37,7.4
2020-03-19,39.82,10.29,30.088917,21.053175,10,153.130005,6.470299,9.47,7.18
2020-03-20,39.610001,10.38,27.480888,19.53377,12,149.729996,6.510239,10.09,6.98
2020-03-23,41.639999,10.25,25.858116,17.954782,12,148.100006,6.100853,10.65,6.58
2020-03-24,46.220001,13.92,27.13315,20.884352,13.68,160.979996,6.999506,11,7.5
2020-03-25,44.630001,15.39,27.432592,20.953867,15.55,156.210007,7.548682,11.23,8.04
2020-03-26,47.5,15.66,29.557652,22.562647,17.82,163.339996,8.107844,11.95,8.32
2020-03-27,46.580002,14.04,28.82354,21.450403,14.41,156.789993,7.608593,12.18,7.84
2020-03-30,47.860001,12.25,29.200254,21.887358,12.8,165.949997,7.878188,11.85,8.04
2020-03-31,45.48,12.19,28.157043,21.082966,13.17,166.800003,7.928113,11.89,8.29
2020-04-01,43.66,10.69,27.094513,19.633078,8.8,159.600006,7.029461,11.21,8.15
2020-04-02,44.490002,10.06,27.780329,20.427536,7.97,158.190002,6.88967,11.27,8.15
2020-04-03,42.59,9.39,26.524611,19.891277,8.49,154.179993,6.719925,11.06,7.58
2020-04-06,47.52,9.5,28.437166,21.241858,10.21,165.550003,7.219176,12.16,8.11
2020-04-07,47.560001,10.22,29.055365,21.986664,11.3,168.830002,7.019476,12.1,8.38
2020-04-08,48.790001,11.33,29.37973,23.287592,11.99,174.279999,7.289072,13.22,8.44
2020-04-09,48.380001,12.51,30.205391,24.687826,12.42,175.190002,7.129311,13.61,8.5
2020-04-13,50.939999,11.56,29.67461,23.754335,11.5,174.789993,7.009491,13.54,8.57
2020-04-14,54.93,11.95,30.598562,23.565651,12.51,178.169998,6.919625,13.78,8.59
2020-04-15,54.990002,12.29,29.576317,22.036318,12.38,176.970001,6.490269,13.58,8.26
2020-04-16,56.950001,11.07,29.645123,21.27165,11.85,176.25,6.230659,13.02,8.13
2020-04-17,56.599998,11.57,30.696856,23.118769,12.56,179.240005,6.829761,12.98,8.36
2020-04-20,56.970001,11.06,30.451122,22.34417,12.22,178.240005,6.500255,12.92,7.99
2020-04-21,52.919998,11,29.360073,21.490126,11.84,170.800003,6.470299,12.44,7.79
2020-04-22,55.919998,10.27,28.966902,21.649017,11.64,182.279999,6.420374,17.01,7.97
2020-04-23,55.900002,10.25,28.996389,21.718534,12.17,185.130005,6.510239,16.059999,7.86
2020-04-24,56.18,10.31,29.202803,22.026386,11.91,190.070007,6.250629,16,7.67
2020-04-27,56.490002,10.02,30.018637,23.307451,12.98,187.5,6.420374,16.91,7.88
2020-04-28,55.509998,11.26,30.126757,23.724543,14.46,182.910004,6.78982,16.41,8.11
2020-04-29,53.66,12.63,30.893442,24.608379,16.690001,194.190002,6.570149,17.83,8.76
2020-04-30,52.389999,12.01,29.949829,23.883434,15.9,204.710007,6.78982,17.610001,8.25
2020-05-01,49.880001,10.64,29.389561,22.920153,13.93,202.270004,6.490269,16.790001,7.98
2020-05-04,52.560001,9.82,29.094683,22.771193,14.34,205.259995,6.200704,17.1,7.98
2020-05-05,52.189999,9.51,29.232292,22.503061,13.09,207.070007,6.190718,17.51,7.81
2020-05-06,52.16,9.25,28.298512,22.19521,12.82,208.470001,5.971048,17.33,7.78
2020-05-07,51.950001,9.54,28.396803,22.681816,13.53,211.259995,6.100853,18.15,7.93
2020-05-08,53.189999,10.14,29.281439,23.406759,14.21,212.350006,6.280584,18.23,8.52
2020-05-11,55.740002,10.1,28.878437,22.423616,13.85,213.179993,6.180733,18.09,8.23
2020-05-12,53.759998,9.65,28.396803,21.718534,13.19,210.100006,5.991018,17.379999,8.1
2020-05-13,52.18,9.11,27.61046,20.72546,12.26,205.100006,5.781332,16.77,8.18
2020-05-14,54.509998,9.15,28.092094,21.559641,12.27,206.809998,5.691467,16.93,8.24
2020-05-15,54.200001,9.04,27.826704,21.291512,12.78,210.880005,5.481781,17.1,8.27
2020-05-18,54.59,9.87,28.947245,22.771193,14.72,213.190002,6.260613,17.49,9.01
2020-05-19,55.470001,9.64,28.465607,22.056177,14.11,216.880005,6.200704,17.48,9.07
2020-05-20,56.389999,9.87,29.084852,22.751331,14.15,229.970001,6.410389,18.23,9.27
2020-05-21,54.650002,9.89,29.26178,22.7414,14.6,231.389999,6.470299,17.549999,9.13
2020-05-22,55.169998,9.7,29.369902,22.503061,14.46,234.910004,6.400404,17.67,8.98
2020-05-26,53.189999,11.14,30.293854,24.111843,16.280001,232.199997,6.78982,17.41,9.11
2020-05-27,52.740002,11.98,31.306273,25.800068,17.24,229.139999,7.279087,17,9.57
2020-05-28,51.740002,10.98,30.529757,24.687826,15.93,225.460007,6.76985,18.25,9.31
2020-05-29,53.799999,10.5,30.333172,23.952951,15.74,225.089996,6.560164,18.940001,9.76